Acanthochalcis,0,1,0,0,0,0,1,0,-,0,0,0,0,1,0,-,1,1,-,-,-,-,1,0,0,0,1,0,0,1,0,0,0,0,2,-,-,-,-,-,2,1,1,0,1,0,0,2,1,1,1,-,0,0,2,0,3,0,1,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-,0,2,-,2,0,1,1,2,0,2,1,0,1,1,0,1,0,0,0,-,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,2,0,0,0,0,1,2,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,2,0,1,0,0,1,0,2,0,1,0,0,0,-,0,1,1,1,1,0,0,0,1,2,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,2,0,0,1,-,-,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,-,1,0,1,0,1,0,0,1,-,0,1,1,0,1,0,1,1,0,0,1,0,0,-,0,0,0,1,0,0,0,1,2,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,1,1,1,2,1,1,1,1,1,1,2,1,1,0,1,1,1,1,0,1,0,0,0,1,?,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1
Aleiodes,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,2,1,0,1,1,1,1,5,0,0,1,0,0,-,2,0,0,0,2,-,-,1,0,0,2,1,1,0,0,2,0,2,1,1,1,1,0,0,3,1,4,0,1,0,6,0,0,0,1,0,1,0,-,0,0,-,-,0,0,1,0,0,0,0,2,1,1,0,0,-,0,-,-,0,1,1,1,1,2,0,2,1,0,1,0,0,2,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,2,0,0,1,0,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,2,0,0,0,0,0,0,2,0,2,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,-,1,1,1,1,1,0,0,2,0,0,1,-,-,1,1,1,0,0,0,2,1,1,1,0,0,0,0,0,-,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,2,0,0,-,0,1,0,1,0,0,1,0,2,0,1,-,-,1,0,0,0,1,1,1,0,0,1,0,1,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,0,0,0,2,1,1,1,1,1,1,2,1,1,0,1,1,0,0,0,0,0,0,2,2,0,-,0,-,-,0,1,0,1,1,0,1,1,?,1,0,1,0,0,1,0,1,1,1,0
Anacharis,0,0,0,1,1,0,0,0,-,0,0,0,0,1,-,-,1/2,1,0,-,-,-,1,6,0,1,1,0,0,0,2,2,0,0,0,1,1,1,0,0,3,0,1,0,1,1,0,2,1,1,1,1,0,0,3,0,3,0,1,0,5,0,1,0,0,1,1,1,1,-,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,-,1,1,0,0,0,-,1,1,2,0,2,1,0,1,0,1,2,0,0,0,-,0,0,0,0,0,1,1,1,1,1,-,1,0,1,1,-,1,0,0,1,0,2,1,1,0,1,1,2,0,1,1,0,0,1,0,-,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,2,0,0,0,0,1,0,2,0,2,0,0,1,1,1,1,0,1,1,1,0,0,0,2,0,-,0,0,0,1,1,1,1,1,1,0,0,1,1,0,-,0,1,1,1,1,0,-,2,1,0,1,-,-,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,-,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,2,1,1,0,0,-,0,0,0,1,1,0,0,0,2,1,0,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,2,1,1,1,1,1,1,2,1,1,0,1,1,1,0,1,0,0,0,0,1,0,-,0,-,-,0,0,0,0,0,1,0,1,1,-,0,1,0,0,0,0,1,1,1,1
Archaeoteleia,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,2,1,1,0,1,1,0,4,-,-,-,-,-,-,4,-,3,0,1,0,5,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,2,0,-,1,1,0,0,0,-,1,1,2,0,2,1,0,1,1,0,2,1,0,0,-,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,2,1,0,0,1,1,2,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,2,0,2,0,1,0,-,0,1,0,1,1,1,0,0,1,1,0,-,0,0,0,1,1,0,1,1,1,0,1,1,0,0,-,1,1,1,0,1,0,0,2,0,0,1,-,-,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,2,0,0,0,0,1,0,1,1,0,0,1,0,0,-,0,0,0,0,1,0,0,1,2,1,1,0,0,1,0,0,0,1,0,1,-,0,0,1,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,-,0,0,0,0,0,-,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,1,1,1,1,1,1,2,1,1,0,1,1,1,0,0,0,0,0,0,2,0,-,0,-,-,1,1,0,0,0,1,0,1,0,-,0,1,0,0,0,0,1,1,1,1
Athalia,0,0,0,1,0,0,0,0,1,0,1,0,0,0,?,0,?,0,?,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,1,0,0,0,1,0,1,0,0,-,0,0,1,0,4,0,0,0,6,0,0,0,0,0,1,0,1,-,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,-,0,0,-,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1,-,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,-,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,-,0,1,0,0,-,0,0,0,1,-,-,-,0,0,0,-,-,0,0,0,0,0,0,0,0,1,0,0,0,0,-,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,?,0,0
Atomacera,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-,?,0,-
Aulacus,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,?,1,1,-,1,1,0,0,1,0,0,2,2,0,0,0,0,1,1,1,0,2,2,0,1,0,0,1,0,2,3,1,1,1,0,0,3,1,4,0,1,2,6,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,0,0,-,0,-,-,-,0,0,1,1,2,0,2,1,1,1,1,0,2,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,2,1,0,0,1,1,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,2,0,0,0,0,0,0,2,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,2,0,0,1,-,-,0,1,1,0,0,1,1,0,0,1,0,2,0,0,1,0,1,1,0,0,1,0,0,1,2,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,0,0,0,0,0,0,-,0,0,0,0,0,0,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,2,1,1,1,1,1,1,2,1,1,0,1,1,0,0,0,0,0,0,0,-,0,1,0,1,1,1,0,1,0,0,1,0,1,?,-,0,1,0,0,0,0,1,1,1,0
Australomymar,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0,0,0,1,0,0,-,-,1,1,1,-,-,-,-,0,0,3,1,1,0,1,1,1,2,2,1,1,0,0,0,3,0,1,0,1,1,1,0,?,?,0,0,1,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Austronia,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,1,0,0,2,1,1,1,1,1,1,2,1,1,1,0,1,1,0,1,0,0,0,0,-,0,1,0,1,1,0,0,0,0,0,1,0,1,1,-,0,1,0,0,0,0,1,1,1,-
Austroserphus,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,2,1,0,0,-,-,1,0,0,0,1,0,0,-,-,0,0,0,0,-,-,1,-,-,1,1,1,0,-,1,0,2,1,1,-,-,0,0,-,-,3,0,-,1,5,0,-,0,-,-,1,-,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,2,0,-,1,1,-,0,0,-,1,1,2,0,2,1,0,1,0,1,2,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,2,1,0,1,1,1,2,0,1,1,1,0,0,1,-,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,2,0,0,0,0,1,0,2,0,2,0,0,0,-,0,1,1,0,1,1,0,0,0,1,0,-,0,0,0,1,1,1,1,1,1,0,0,1,0,0,-,1,1,0,1,1,0,0,2,0,0,1,-,-,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,-,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,2,1,2,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,2,1,1,1,1,1,1,2,1,1,1,0,1,1,0,1,0,0,0,0,-,0,-,0,-,-,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,1,1,1
