id,statemet,Istvan’s_annot,compar_results,suggested_annot
CHAR:1,Ocellar corona,HAO:0000234-(cranium),none,HAO:0000013-(cell); HAO:0001091-(wing cell); HAO:0002326-(maximum diameter of the compound eye)
CHAR:2,Supraantennal groove or depression,HAO:0001432-(antennal scrobe),none,HAO:0000101-(antenna); HAO:0000241-(depression); HAO:0000417-(impression)
CHAR:3,Notch on medial margin of eye,HAO:0000419-(inner orbit),none,HAO:0000648-(notch); HAO:0001981-(margin); HAO:0000217-(compound eye); HAO:0000519-(medial vein)
CHAR:4,Position of toruli relative to eyes,HAO:0001022-(torulus),none,HAO:0000217-(compound eye); HAO:0002326-(maximum diameter of the compound eye)
CHAR:5,Position of toruli relative to clypeus,HAO:0001022-(torulus),none,HAO:0000212-(clypeus); HAO:0002325-(maximum cephalic length); HAO:0002326-(maximum diameter of the compound eye); HAO:0002331-(maximum cephalic length in median line)
CHAR:6,Subantennal shelf,HAO:0000105-(antennal shelf),original is subset,HAO:0000101-(antenna); HAO:0000105-(antennal shelf); HAO:0002326-(maximum diameter of the compound eye)
CHAR:7,Inner margin of torulus,HAO:0001022-(torulus),original is subset,HAO:0000510-(margin); HAO:0001022-(torulus); HAO:0001981-(margin); HAO:0000103-(antennal rim)
CHAR:8,Subantennal groove,HAO:0000965-(subantennal groove),original is subset,HAO:0000101-(antenna); HAO:0000965-(subantennal groove); HAO:0001220-(subantennal groove)
CHAR:9,Clypeus,HAO:0000212-(clypeus),original is subset,HAO:0000212-(clypeus); HAO:0002325-(maximum cephalic length); HAO:0002331-(maximum cephalic length in median line)
CHAR:10,Mandibular foramen,HAO:0000670-(oral foramen),original is finer,HAO:0000345-(foramen)
CHAR:11,Occipital sulcus and ridge,HAO:0000656-(occipital sulcus),original is subset,HAO:0000656-(occipital sulcus); HAO:0000718-(pit); HAO:0000899-(ridge); HAO:0000188-(carina); HAO:0000241-(depression); HAO:0001596-(vertexal sulcus)
CHAR:12,Position  occipital foramen,HAO:0000347-(occipital foramen),original is subset,HAO:0000347-(occipital foramen); HAO:0000718-(pit); HAO:0000241-(depression)
CHAR:13,Position  posterior tentorial pits,HAO:0000768-(posterior tentorial pit),original is subset,HAO:0000768-(posterior tentorial pit); HAO:0000241-(depression)
CHAR:14,Sclerotization between occipital and oral foramina,HAO:0001218-(subforaminal bridge),none,HAO:0000718-(pit); HAO:0000241-(depression); HAO:0002325-(maximum cephalic length); HAO:0002331-(maximum cephalic length in median line)
CHAR:15,Ventral sclerotization configuration,HAO:0001218-(subforaminal bridge),none,HAO:0002325-(maximum cephalic length); HAO:0002331-(maximum cephalic length in median line)
CHAR:16,Postoccipital bridge,HAO:0001218-(subforaminal bridge),none,HAO:0000718-(pit); HAO:0000899-(ridge); HAO:0000188-(carina); HAO:0000241-(depression)
CHAR:17,Longitudinal sulci on ventral head sclerotization,HAO:0001218-(subforaminal bridge); HAO:0000978-(sulcus),original is finer,HAO:0000397-(head); HAO:0002325-(maximum cephalic length); HAO:0002331-(maximum cephalic length in median line)
CHAR:18,Occipital carina,HAO:0000653-(occipital carina),original is subset,HAO:0000653-(occipital carina); HAO:0000718-(pit); HAO:0000241-(depression)
CHAR:19,Occipital carina configuration,HAO:0000653-(occipital carina),original is subset,HAO:0000653-(occipital carina); HAO:0000718-(pit); HAO:0000241-(depression)
CHAR:20,Dorsal tentorial arm,HAO:0000275-(dorsal tentorial arm),identical,HAO:0000275-(dorsal tentorial arm)
CHAR:21,Shape  tentorial bridge,HAO:0000998-(tentorial bridge),original is subset,HAO:0000899-(ridge); HAO:0000998-(tentorial bridge); HAO:0000188-(carina)
CHAR:22,Corpotendon on tentorial bridge,HAO:0002479-(corpotendon),original is subset,HAO:0000899-(ridge); HAO:0000996-(tendon); HAO:0002479-(corpotendon); HAO:0000188-(carina)
CHAR:23,Position of labrum,HAO:0000456-(labrum),identical,HAO:0000456-(labrum)
CHAR:24,Shape of labrum,HAO:0000456-(labrum),identical,HAO:0000456-(labrum)
CHAR:25,Labrum,HAO:0000456-(labrum),identical,HAO:0000456-(labrum)
CHAR:26,Exposure of labrum,HAO:0000456-(labrum),identical,HAO:0000456-(labrum)
