,character,contains_inapplicable
1,CHAR:1,TRUE
2,CHAR:2,TRUE
3,CHAR:3,TRUE
4,CHAR:4,TRUE
5,CHAR:5,TRUE
6,CHAR:6,TRUE
7,CHAR:7,TRUE
8,CHAR:8,TRUE
9,CHAR:9,TRUE
10,CHAR:10,TRUE
11,CHAR:11,TRUE
12,CHAR:12,TRUE
13,CHAR:13,TRUE
14,CHAR:14,TRUE
15,CHAR:15,TRUE
16,CHAR:16,TRUE
17,CHAR:17,TRUE
18,CHAR:18,TRUE
19,CHAR:19,TRUE
20,CHAR:20,TRUE
21,CHAR:21,TRUE
22,CHAR:22,TRUE
23,CHAR:23,FALSE
24,CHAR:24,TRUE
25,CHAR:25,TRUE
26,CHAR:26,TRUE
27,CHAR:27,TRUE
28,CHAR:28,TRUE
29,CHAR:29,TRUE
30,CHAR:30,TRUE
31,CHAR:31,TRUE
32,CHAR:32,TRUE
33,CHAR:33,TRUE
34,CHAR:34,TRUE
35,CHAR:35,TRUE
36,CHAR:36,TRUE
37,CHAR:37,TRUE
38,CHAR:38,TRUE
39,CHAR:39,TRUE
40,CHAR:40,TRUE
41,CHAR:41,TRUE
42,CHAR:42,TRUE
43,CHAR:43,TRUE
44,CHAR:44,TRUE
45,CHAR:45,TRUE
46,CHAR:46,TRUE
47,CHAR:47,TRUE
48,CHAR:48,TRUE
49,CHAR:49,TRUE
50,CHAR:50,TRUE
51,CHAR:51,TRUE
52,CHAR:52,TRUE
53,CHAR:53,TRUE
54,CHAR:54,TRUE
55,CHAR:55,TRUE
56,CHAR:56,TRUE
57,CHAR:57,FALSE
58,CHAR:58,TRUE
59,CHAR:59,TRUE
60,CHAR:60,TRUE
61,CHAR:61,TRUE
62,CHAR:62,FALSE
63,CHAR:63,TRUE
64,CHAR:64,TRUE
65,CHAR:65,TRUE
66,CHAR:66,TRUE
67,CHAR:67,FALSE
68,CHAR:68,TRUE
69,CHAR:69,TRUE
70,CHAR:70,TRUE
71,CHAR:71,FALSE
