"","ID","Statement","Full_ontology_anotation"
"1","CHAR:1","Ocellar corona","cranium | head capsule | head | body | multi-cellular organism | anatomical cluster | tagma | organism subdivision | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"2","CHAR:2","Supraantennal groove or depression","antennal scrobe | scrobal depression | anatomical cluster | scrobe | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"3","CHAR:3","Notch on medial margin of eye","inner orbit | orbit | margin | sclerite | area | cuticle | acellular anatomical structure | line | integument | anatomical system | anatomical group | anatomical structure | material anatomical entity | anatomical entity"
"4","CHAR:4","Position of toruli relative to eyes","torulus | face | head | body | multi-cellular organism | anatomical cluster | tagma | organism subdivision | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | foramen | anatomical space | immaterial anatomical entity | anatomical entity"
"5","CHAR:5","Position of toruli relative to clypeus","torulus | face | head | body | multi-cellular organism | anatomical cluster | tagma | organism subdivision | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | foramen | anatomical space | immaterial anatomical entity | anatomical entity"
"6","CHAR:6","Subantennal shelf","antennal shelf | face | head | body | multi-cellular organism | anatomical cluster | tagma | organism subdivision | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"7","CHAR:7","Inner margin of torulus","torulus | face | head | body | multi-cellular organism | anatomical cluster | tagma | organism subdivision | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | foramen | anatomical space | immaterial anatomical entity | anatomical entity"
"8","CHAR:8","Subantennal groove","subantennal groove | lower face | face | head | body | multi-cellular organism | anatomical cluster | tagma | organism subdivision | impression | groove | sclerite | area | cuticle | acellular anatomical structure | line | integument | anatomical system | anatomical group | anatomical structure | material anatomical entity | anatomical entity"
"9","CHAR:9","Clypeus","clypeus | lower face | face | head | body | multi-cellular organism | anatomical cluster | tagma | organism subdivision | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"10","CHAR:10","Mandibular foramen","oral foramen | foramen | anatomical space | immaterial anatomical entity | anatomical entity"
"11","CHAR:11","Occipital sulcus and ridge","occipital sulcus | occiput | head | body | multi-cellular organism | anatomical cluster | tagma | organism subdivision | sulcus | groove | sclerite | area | cuticle | acellular anatomical structure | line | integument | anatomical system | anatomical group | anatomical structure | material anatomical entity | anatomical entity"
"12","CHAR:12","Position  occipital foramen","occipital foramen | foramen | anatomical space | immaterial anatomical entity | anatomical entity"
"13","CHAR:13","Position  posterior tentorial pits","posterior tentorial pit | postocciput | tentorial pit | cranium | head capsule | head | body | multi-cellular organism | anatomical cluster | tagma | organism subdivision | sclerite | pit | patch | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"14","CHAR:14","Sclerotization between occipital and oral foramina","subforaminal bridge | head | body | multi-cellular organism | anatomical cluster | tagma | organism subdivision | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"15","CHAR:15","Ventral sclerotization configuration","subforaminal bridge | head | body | multi-cellular organism | anatomical cluster | tagma | organism subdivision | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"16","CHAR:16","Postoccipital bridge","subforaminal bridge | head | body | multi-cellular organism | anatomical cluster | tagma | organism subdivision | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"17","CHAR:17","Longitudinal sulci on ventral head sclerotization","sulcus | groove | sclerite | line | subforaminal bridge | head | body | multi-cellular organism | anatomical cluster | tagma | organism subdivision | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"18","CHAR:18","Occipital carina","occipital carina | cranium | head capsule | head | body | multi-cellular organism | anatomical cluster | tagma | organism subdivision | carina | process | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"19","CHAR:19","Occipital carina configuration","occipital carina | cranium | head capsule | head | body | multi-cellular organism | anatomical cluster | tagma | organism subdivision | carina | process | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"20","CHAR:20","Dorsal tentorial arm","dorsal tentorial arm | anterior tentorial arm | tentorial arm | tentorium | cranium | head capsule | head | body | multi-cellular organism | anatomical cluster | tagma | organism subdivision | apodeme | cuticular invagination | process | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"21","CHAR:21","Shape  tentorial bridge","tentorial bridge | tentorium | cranium | head capsule | head | body | multi-cellular organism | anatomical cluster | tagma | organism subdivision | apodeme | cuticular invagination | process | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"22","CHAR:22","Corpotendon on tentorial bridge","corpotendon | tentorial bridge | tentorium | cranium | head capsule | head | body | multi-cellular organism | anatomical cluster | tagma | organism subdivision | apodeme | cuticular invagination | process | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"23","CHAR:23","Position of labrum","labrum | mouthparts | anatomical cluster | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"24","CHAR:24","Shape of labrum","labrum | mouthparts | anatomical cluster | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"25","CHAR:25","Labrum","labrum | mouthparts | anatomical cluster | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"26","CHAR:26","Exposure of labrum","labrum | mouthparts | anatomical cluster | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"27","CHAR:27","Distal epipharyngeal wall","epipharyngeal wall | preoral cavity | head | body | multi-cellular organism | tagma | organism subdivision | anatomical cluster | conjunctiva | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"28","CHAR:28","Lateral epipharyngeal brush","epipharynx | epipharyngeal wall | preoral cavity | head | body | multi-cellular organism | tagma | organism subdivision | anatomical cluster | conjunctiva | lobe | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"29","CHAR:29","Epipharyngeal lobe","epipharynx | epipharyngeal wall | preoral cavity | head | body | multi-cellular organism | tagma | organism subdivision | anatomical cluster | conjunctiva | lobe | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"30","CHAR:30","Epipharyngeal setae","epipharyngeal brush | epipharyngeal wall | preoral cavity | head | body | multi-cellular organism | tagma | organism subdivision | anatomical cluster | conjunctiva | setiferous patch | patch | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"31","CHAR:31","Tormae","torma | labrum | mouthparts | anatomical cluster | process | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"32","CHAR:32","Sclerotization of labrum","labrum | mouthparts | anatomical cluster | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"33","CHAR:33","Thickness of labrum","labrum | mouthparts | anatomical cluster | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"34","CHAR:34","Labral setation","labrum | mouthparts | anatomical cluster | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"35","CHAR:35","Labral apodemes","labral apodeme | tendon | body | multi-cellular organism | anatomical cluster | anatomical group | portion of tissue | anatomical structure | material anatomical entity | anatomical entity"
"36","CHAR:36","Sitophore","sitophore | hypopharynx | mouthparts | anatomical cluster | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"37","CHAR:37","Sitophore sensillae","sitophore | hypopharynx | mouthparts | anatomical cluster | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"38","CHAR:38","Hypopharyngeal lobe","hypopharyngeal lobe | hypopharynx | mouthparts | anatomical cluster | lobe | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"39","CHAR:39","Infrabuccal pouch","infrabuccal pouch | hypopharynx | mouthparts | anatomical cluster | pouch | conjunctiva | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"40","CHAR:40","Hypopharyngeal pectens","hypopharyngeal pecten | distal hypopharynx | hypopharynx | mouthparts | anatomical cluster | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"41","CHAR:41","Left mandible dentition","tooth | mandible | mouthparts | anatomical cluster | appendage | multi-cellular organism | projection | process | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"42","CHAR:42","Dentition of right mandible relative to left","tooth | mandible | mouthparts | anatomical cluster | appendage | multi-cellular organism | projection | process | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"43","CHAR:43","Mola on right mandible","mola | mandible | mouthparts | anatomical cluster | anatomical group | appendage | multi-cellular organism | anatomical structure | material anatomical entity | anatomical entity | region"
"44","CHAR:44","Mandibular peg on ventral margin","mandible | mouthparts | anatomical cluster | anatomical group | appendage | multi-cellular organism | anatomical structure | material anatomical entity | anatomical entity"
"45","CHAR:45","Mandibular rods glands","mandibular rod | mandible | mouthparts | anatomical cluster | appendage | multi-cellular organism | cuticular invagination | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"46","CHAR:46","Lateral articulation of mandible","mandibular condyle | mandible | mouthparts | appendage | multi-cellular organism | condyle | articulation | anatomical cluster | articular surface | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"47","CHAR:47","Lateral mandibular muscle attachment","posterior cranio-mandibular muscle | mandibular muscle | head muscle | head | body | anatomical cluster | anatomical group | tagma | organism subdivision | skeletal muscle | muscle | multi-cellular organism | portion of tissue | anatomical structure | material anatomical entity | anatomical entity"
"48","CHAR:48","Shape of glossa  alaglossa ","glossa | labium | mouthparts | anatomical cluster | lobe | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"49","CHAR:49","Setation of glossa","glossa | labium | mouthparts | anatomical cluster | lobe | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"50","CHAR:50","Glossal fringe","apical glossal setae | glossa | labium | mouthparts | lobe | row of setae | row | sclerite | area | cuticle | integument | anatomical system | acellular anatomical structure | anatomical cluster | anatomical group | anatomical structure | material anatomical entity | anatomical entity"
"51","CHAR:51","Submarginal setae of glassa","apical glossal hairs | distal glossal edge | glossa | labium | mouthparts | anatomical cluster | lobe | edge | margin | sclerite | area | cuticle | acellular anatomical structure | line | integument | anatomical system | anatomical group | anatomical structure | material anatomical entity | anatomical entity"
"52","CHAR:52","Campaniform sensillae","campaniform sensillum of the glossa | glossa | labium | mouthparts | lobe | area | cuticle | integument | anatomical system | acellular anatomical structure | sensillum | sense organ | body | multi-cellular organism | anatomical cluster | anatomical group | anatomical structure | material anatomical entity | anatomical entity"
"53","CHAR:53","Acroglossal button","paraglossal acroglossal button | paraglossa | labium | mouthparts | anatomical cluster | lobe | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"54","CHAR:54","Glossal margin","distal glossal edge | glossa | labium | mouthparts | anatomical cluster | lobe | edge | margin | sclerite | area | cuticle | acellular anatomical structure | line | integument | anatomical system | anatomical group | anatomical structure | material anatomical entity | anatomical entity"
"55","CHAR:55","Paraglossae","paraglossa | labium | mouthparts | anatomical cluster | lobe | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"56","CHAR:56","Paraglossal basal setation","paraglossa | labium | mouthparts | anatomical cluster | lobe | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"57","CHAR:57","Number of labial palp segments","labial palpomere | labial palp | labium | palpus | labiomaxillary complex | mouthparts | anatomical cluster | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"58","CHAR:58","Rod like sensilla","apical peg"
"59","CHAR:59","Subapical sensilla","palpomere | palpus | labiomaxillary complex | mouthparts | sclerite | area | cuticle | integument | anatomical system | acellular anatomical structure | sensillum | sense organ | body | multi-cellular organism | anatomical cluster | anatomical group | anatomical structure | material anatomical entity | anatomical entity"
"60","CHAR:60","Postmentum","postmentum | anatomical cluster | anatomical group | anatomical structure | material anatomical entity | anatomical entity"
"61","CHAR:61","Number of maxillary palp segments","sclerite of the maxillary palp | maxillary palp | maxilla | appendage | multi-cellular organism | palpus | labiomaxillary complex | mouthparts | anatomical cluster | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"62","CHAR:62","Maxillary palp shape","sclerite of the maxillary palp | maxillary palp | maxilla | appendage | multi-cellular organism | palpus | labiomaxillary complex | mouthparts | anatomical cluster | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"63","CHAR:63","Sensillum on third maxillary palpomere","sensillum | sense organ | body | third sclerite of the maxillary palp | maxillary palp | maxilla | appendage | multi-cellular organism | palpus | labiomaxillary complex | mouthparts | anatomical cluster | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"64","CHAR:64","Third maxillary palpomere","third sclerite of the maxillary palp | maxillary palp | maxilla | appendage | multi-cellular organism | palpus | labiomaxillary complex | mouthparts | anatomical cluster | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"65","CHAR:65","Shape of lacinia","lacinial lobe | maxilla | labiomaxillary complex | mouthparts | anatomical cluster | appendage | multi-cellular organism | lobe | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"66","CHAR:66","Galea shape","galea | maxilla | labiomaxillary complex | mouthparts | anatomical cluster | appendage | multi-cellular organism | lobe | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"67","CHAR:67","Galea division","galea | maxilla | labiomaxillary complex | mouthparts | anatomical cluster | appendage | multi-cellular organism | lobe | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"68","CHAR:68","Stipes sensillum","sensillum | sense organ | body | stipes | maxilla | labiomaxillary complex | mouthparts | anatomical cluster | appendage | multi-cellular organism | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"69","CHAR:69","Pronotum shape anteriorly","pronotum | prothorax | mesosoma | notum | thoracic segment | body segment | body | segment | multi-cellular organism | anatomical cluster | thorax | tagma | organism subdivision | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"70","CHAR:70","Pronotum  anteroventral longitudinal carinae","carina | process | sclerite | pronotum | prothorax | mesosoma | notum | thoracic segment | body segment | body | segment | multi-cellular organism | anatomical cluster | thorax | tagma | organism subdivision | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"71","CHAR:71","Pronotum  submedian depressions","pronotal fovea | pronotum | prothorax | mesosoma | notum | thoracic segment | body segment | body | segment | multi-cellular organism | anatomical cluster | thorax | tagma | organism subdivision | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"72","CHAR:72","Pronotum  length","median anatomical line | pronotum | prothorax | mesosoma | notum | thoracic segment | body segment | body | segment | multi-cellular organism | anatomical cluster | thorax | tagma | organism subdivision | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"73","CHAR:73","Pronotum orientation","pronotum | prothorax | mesosoma | notum | thoracic segment | body segment | body | segment | multi-cellular organism | anatomical cluster | thorax | tagma | organism subdivision | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"74","CHAR:74","Pronotum  transverse carina","transverse pronotal carina | pronotum | prothorax | mesosoma | notum | thoracic segment | body segment | body | segment | multi-cellular organism | anatomical cluster | thorax | tagma | organism subdivision | carina | process | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"75","CHAR:75","Pronotum  anterior surface","pronotum | prothorax | mesosoma | notum | thoracic segment | body segment | body | segment | multi-cellular organism | anatomical cluster | thorax | tagma | organism subdivision | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"76","CHAR:76","Pronotum  dorsomedially","prophragma | mesonotum | mesothorax | pterothorax | phragma | antecosta | anteromedian pronotal ridge | pronotum | prothorax | mesosoma | notum | thoracic segment | body segment | body | segment | multi-cellular organism | anatomical cluster | thorax | tagma | organism subdivision | ridge | apodeme | cuticular invagination | process | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"77","CHAR:77","Pronotum  submedian apodemes","submedian pronotal apodeme | pronotum | prothorax | mesosoma | notum | thoracic segment | body segment | body | segment | multi-cellular organism | anatomical cluster | thorax | tagma | organism subdivision | apodeme | cuticular invagination | process | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"78","CHAR:78","Pronotum  anterolateral corners","pronotal shoulder | pronotum | prothorax | mesosoma | notum | thoracic segment | body segment | body | segment | multi-cellular organism | anatomical cluster | thorax | tagma | organism subdivision | corner | projection | process | sclerite | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
"79","CHAR:79","Pronotum  anterolateral internal carina","carina | process | sclerite | pronotum | prothorax | mesosoma | notum | thoracic segment | body segment | body | segment | multi-cellular organism | anatomical cluster | thorax | tagma | organism subdivision | area | cuticle | integument | anatomical system | anatomical group | acellular anatomical structure | anatomical structure | material anatomical entity | anatomical entity"
