"","ID","names","N_chars"
"1","HAO:0000000","anatomical entity","387"
"2","HAO:0000003","anatomical structure","378"
"3","HAO:0000006","material anatomical entity","378"
"4","HAO:0000012","multi-cellular organism","347"
"5","HAO:0000054","anatomical group","324"
"6","HAO:0000041","anatomical cluster","320"
"7","HAO:0000011","anatomical system","292"
"8","HAO:0000040","acellular anatomical structure","290"
"9","HAO:0000421","integument","290"
"10","HAO:0000146","area","289"
"11","HAO:0000240","cuticle","289"
"12","HAO:0000032","organism subdivision","257"
"13","HAO:0000988","tagma","257"
"14","HAO:0000182","body","234"
"15","HAO:0000576","mesosoma","221"
"16","HAO:0000929","segment","213"
"17","HAO:0000909","sclerite","206"
"18","HAO:0000183","body segment","204"
"19","HAO:0001015","thorax","200"
"20","HAO:0001013","thoracic segment","179"
"21","HAO:0000883","pterothorax","120"
"22","HAO:0000822","process","107"
"23","HAO:0000583","mesothorax","80"
"24","HAO:0000144","appendage","66"
"25","HAO:0000043","portion of tissue","65"
"26","HAO:0000641","muscle","64"
"27","HAO:0001922","skeletal muscle","64"
"28","HAO:0000874","prothorax","56"
"29","HAO:0002021","cuticular invagination","53"
"30","HAO:0000142","apodeme","52"
"31","HAO:0000650","notum","42"
"32","HAO:0000639","mouthparts","38"
"33","HAO:0001117","thoracic muscle","38"
"34","HAO:0000604","metapectal-propodeal complex","37"
"35","HAO:0000556","mesonotum","32"
"36","HAO:0000630","metathorax","32"
"37","HAO:0000015","abdomen","31"
"38","HAO:0001586","line","28"
"39","HAO:0000494","leg","27"
"40","HAO:0000729","pleuron","27"
"41","HAO:0000495","leg segment","26"
"42","HAO:0000605","metapectus","26"
"43","HAO:0000899","ridge","26"
"44","HAO:0000016","abdominal segment","25"
"45","HAO:0000397","head","25"
"46","HAO:0000092","alinotum","24"
"47","HAO:0000557","mesopectus","24"
"48","HAO:0000829","projection","24"
"49","HAO:0000854","propectus","24"
"50","HAO:0000188","carina","23"
"51","HAO:0001089","wing","21"
"52","HAO:0001119","leg muscle","20"
"53","HAO:0000572","mesoscutellar-axillar complex","18"
"54","HAO:0000853","pronotum","18"
"55","HAO:0000956","sternum","18"
"56","HAO:0000862","propleuron","17"
"57","HAO:0000020","abdominal segment 2","16"
"58","HAO:0000705","pectus","16"
"59","HAO:0001017","tibia","15"
"60","HAO:0001587","lobe","15"
"61","HAO:0000005","anatomical space","14"
"62","HAO:0000007","immaterial anatomical entity","14"
"63","HAO:0000345","foramen","14"
"64","HAO:0000566","mesopleuron","13"
"65","HAO:0001191","wing blade","13"
"66","HAO:0000621","metapleuron","12"
"67","HAO:0000349","fore leg","11"
"68","HAO:0000351","fore wing","11"
"69","HAO:0000400","hind wing","11"
"70","HAO:0000510","margin","11"
"71","HAO:0001095","wing vein","11"
"72","HAO:0001096","wing venation","11"
"73","HAO:0001525","groove","11"
"74","HAO:0000098","antecosta","10"
"75","HAO:0000150","articular process","10"
"76","HAO:0000151","articulation","10"
"77","HAO:0000364","furca","10"
"78","HAO:0000452","labiomaxillary complex","10"
"79","HAO:0000453","labium","10"
"80","HAO:0000603","metanotum","10"
"81","HAO:0000704","patch","10"
"82","HAO:0000716","phragma","10"
"83","HAO:0000978","sulcus","10"
"84","HAO:0001014","thoracic sternum","10"
"85","HAO:0000309","eusternum","9"
"86","HAO:0000950","spiracle","9"
"87","HAO:0000951","spur","9"
"88","HAO:0000456","labrum","8"
"89","HAO:0000513","maxilla","8"
"90","HAO:0000575","mesoscutum","8"
"91","HAO:0000636","mid leg","8"
"92","HAO:0000873","prosternum","8"
"93","HAO:0001006","tergum","8"
"94","HAO:0001018","tibial spur","8"
"95","HAO:0001425","abdominal sternum","8"
"96","HAO:0001676","scutum","8"
"97","HAO:0000017","abdominal segment 1","7"
"98","HAO:0000035","abdominal sternum 2","7"
"99","HAO:0000221","conjunctiva","7"
"100","HAO:0000229","coxal foramen","7"
"101","HAO:0000234","cranium","7"
"102","HAO:0000398","head capsule","7"
"103","HAO:0000574","mesoscutellum","7"
"104","HAO:0000718","pit","7"
"105","HAO:0000930","sense organ","7"
"106","HAO:0000933","sensillum","7"
"107","HAO:0001229","scutellum","7"
"108","HAO:0001485","articular surface","7"
"109","HAO:0000220","condyle","6"
"110","HAO:0000316","face","6"
"111","HAO:0000324","female genitalia","6"
"112","HAO:0000350","fore tibia","6"
"113","HAO:0000374","genitalia","6"
"114","HAO:0000376","glossa","6"
"115","HAO:0000506","mandible","6"
"116","HAO:0000547","mesofurca","6"
"117","HAO:0000567","mesopostnotum","6"
"118","HAO:0000683","palpus","6"
"119","HAO:0001712","metabasalar muscle","6"
"120","HAO:0001768","external female genitalia","6"
"121","HAO:0000193","cervical prominence","5"
"122","HAO:0000344","flange","5"
"123","HAO:0000409","hypopharynx","5"
"124","HAO:0000436","intersegmentalia","5"
"125","HAO:0000592","metafurca","5"
"126","HAO:0000648","notch","5"
"127","HAO:0000684","paracoxal ridge","5"
"128","HAO:0000811","prepectus","5"
"129","HAO:0000901","row","5"
"130","HAO:0000992","tarsus","5"
